Word,Meaning
Abstemious,Moderate
Accretion,Growth
Adumbrate,Outline
Alacrity,Eagerness
Anachronism,Misplacement
Apocryphal,Fictitious
Arcane,Mysterious
Bucolic,Rustic
Cacophony,Noise
Camaraderie,Friendship
Capricious,Unpredictable
Cavernous,Spacious
Chimerical,Imaginary
Choleric,Irritable
Clairvoyant,Psychic
Concatenation,Sequence
Concomitant,Simultaneous
Conflagration,Blaze
Defenestration,Throwing
Deleterious,Harmful
Demarcate,Separate
Diaphanous,Transparent
Dichotomy,Division
Disparate,Different
Ephemeral,Fleeting
Equanimity,Composure
Erudition,Knowledge
Esoteric,Obscure
Exacerbate,Worsen
Exculpate,Absolve
Fastidious,Critical
Flabbergasted,Astonished
Frivolous,Trivial
Garrulous,Talkative
Grandiloquent,Pompous
Grievous,Severe
Hegemony,Dominance
Hubris,Arrogance
Iconoclast,Rebel
Impecunious,Poor
Inchoate,Unfinished
Indefatigable,Tireless
Indolent,Lazy
Irascible,Irritable
Juxtapose,Contrast
Lugubrious,Mournful
Maladroit,Clumsy
Mellifluous,Sweet-sounding
Nefarious,Wicked
Nonplussed,Confused
Obfuscate,Confuse
Obsequious,Submissive
Ostentatious,Showy
Pernicious,Destructive
Perfunctory,Superficial
Phlegmatic,Calm
Pithy,Concise
Proclivity,Tendency
Prosaic,Dull
Quixotic,Idealistic
Recalcitrant,Stubborn
Recidivism,Relapse
Redolent,Fragrant
Reprobate,Corrupt
Sycophant,Flatterer
Serendipity,Luck
Soporific,Sleep-inducing
Supercilious,Showy
Surreptitious,Secretive
Taciturn,Silent
Tantamount,Equivalent
Tepid,Lukewarm
Torpid,Sluggish
Ubiquitous,Everywhere
Unctuous,Insincere
Untenable,Unjustifiable
Vapid,Dull
Vehement,Passionate
Venerable,Respected
Veracity,Truth
Vicissitude,Change
Vindictive,Vengeful
Voracious,Hungry
Wistful,Longing
Zealous,Enthusiastic
Avarice,Greed
Belligerent,Hostile
Capitulate,Surrender
Cryptic,Mysterious
Cynical,Skeptical
Dichotomous,Contradictory
Exigent,Urgent
Florid,Ornate
Gregarious,Sociable
Hapless,Unlucky
Imbroglio,Confusion
Lethargic,Sluggish
Noxious,Harmful
Recalcitrant,Defiant
Tantamount,Equivalent
